datetime,x,y,seq,village
20200117 14:56,120.8269,24.6021,1235,後龍鎮豐富里
20200117 14:57,120.8322,24.6074,1242,造橋鄉豐湖村
20200117 14:57,120.8295,24.6068,1244,後龍鎮校椅里
20200117 14:57,120.8304,24.6039,1245,後龍鎮校椅里
20200117 14:57,120.8283,24.6065,1246,後龍鎮校椅里
20200117 14:57,120.8600,24.5854,1248,頭屋鄉北坑村
20200117 14:57,120.8322,24.6074,1249,造橋鄉豐湖村
20200117 14:57,120.8304,24.6039,1250,後龍鎮校椅里
20200117 14:57,120.8281,24.6070,1251,後龍鎮校椅里
20200117 14:57,120.8301,24.6028,1253,後龍鎮豐富里
20200117 14:57,120.8315,24.6059,1254,後龍鎮校椅里
20200117 14:57,120.8289,24.6018,1257,後龍鎮豐富里
20200117 14:57,120.8281,24.6070,1258,後龍鎮校椅里
20200117 14:57,120.8600,24.5854,1259,頭屋鄉北坑村
20200117 14:57,120.8301,24.6028,1260,後龍鎮豐富里
20200117 14:57,120.8322,24.6074,1261,造橋鄉豐湖村
20200117 14:57,120.8289,24.6018,1262,後龍鎮豐富里
20200117 14:58,120.8606,24.5947,1263,頭屋鄉北坑村
20200117 14:58,120.8504,24.6108,1264,造橋鄉豐湖村
20200117 14:58,120.8625,24.6000,1266,頭屋鄉北坑村
20200117 14:58,120.8606,24.5940,1267,頭屋鄉北坑村
20200117 14:58,120.8479,24.6237,1269,造橋鄉豐湖村
20200117 14:59,120.917,24.6696,1270,頭份市上興里
20200117 14:59,120.8720,24.6320,1271,造橋鄉平興村
20200117 14:59,120.8333,24.6257,1272,造橋鄉豐湖村
20200117 14:59,120.8806,24.6218,1273,造橋鄉大西村
20200117 14:59,120.8720,24.6320,1274,造橋鄉平興村
20200117 14:59,120.8690,24.6022,1275,頭屋鄉北坑村
20200117 14:59,120.8806,24.6218,1276,造橋鄉大西村
20200117 14:59,120.8541,24.6124,1277,造橋鄉豐湖村
20200117 14:59,120.8503,24.6250,1278,造橋鄉豐湖村
20200117 14:59,120.8333,24.6257,1279,造橋鄉豐湖村
