datetime,x,y,seq
20200117 14:47,120.7129,24.4751,1202
20200117 14:48,120.7125,24.4820,1203
20200117 14:49,120.7289,24.5105,1207
20200117 14:50,120.7782,24.5576,1210
20200117 14:50,120.7615,24.5576,1211
20200117 14:51,120.8051,24.5961,1213
20200117 14:51,120.7766,24.5583,1214
20200117 14:51,120.7839,24.5756,1215
20200117 14:52,120.8229,24.6008,1216
20200117 14:52,120.8281,24.6019,1218
20200117 14:52,120.8155,24.6031,1219
20200117 14:52,120.8279,24.6019,1220
20200117 14:52,120.8225,24.6010,1221
20200117 14:52,120.8245,24.6025,1223
20200117 14:53,120.8281,24.6020,1224
20200117 14:56,120.8269,24.6021,1235
20200117 14:57,120.8289,24.6018,1241
20200117 14:57,120.8322,24.6074,1242
20200117 14:57,120.8295,24.6068,1244
20200117 14:57,120.8304,24.6039,1245
20200117 14:57,120.8283,24.6065,1246
20200117 14:57,120.8305,24.6040,1247
20200117 14:57,120.8600,24.5854,1248
20200117 14:57,120.8322,24.6074,1249
20200117 14:57,120.8304,24.6039,1250
20200117 14:57,120.8281,24.6070,1251
20200117 14:57,120.8304,24.6039,1252
20200117 14:57,120.8289,24.6018,1257
20200117 14:57,120.8281,24.6070,1258
20200117 14:57,120.8600,24.5854,1259
20200117 14:57,120.8301,24.6028,1260
20200117 14:57,120.8322,24.6074,1261
20200117 14:57,120.8289,24.6018,1262
20200117 14:58,120.8606,24.5947,1263
20200117 14:58,120.8504,24.6108,1264
20200117 14:58,120.8625,24.6000,1266
20200117 14:58,120.8606,24.5940,1267
20200117 14:58,120.8623,24.6000,1268
20200117 14:58,120.8479,24.6237,1269
20200117 14:59,120.917,24.6696,1270
20200117 14:59,120.8720,24.6320,1271
20200117 14:59,120.8333,24.6257,1272
20200117 14:59,120.8806,24.6218,1273
20200117 14:59,120.8720,24.6320,1274
20200117 14:59,120.8690,24.6022,1275
20200117 14:59,120.8806,24.6218,1276
20200117 14:59,120.8541,24.6124,1277
20200117 14:59,120.8503,24.6250,1278
20200117 14:59,120.8333,24.6257,1279
20200117 14:59,120.8382,24.6280,1280
20200117 15:00,120.8871,24.6825,1282
20200117 15:00,120.8692,24.6563,1283
20200117 15:00,120.8863,24.6824,1284
20200117 15:00,120.8744,24.6820,1285
20200117 15:00,120.8670,24.6703,1286
20200117 15:00,120.8735,24.6820,1287
20200117 15:01,120.9375,24.6887,1288
20200117 15:01,120.9329,24.6859,1289
20200117 15:01,120.9317,24.6825,1290
20200117 15:01,120.9180,24.6794,1292
20200117 15:01,120.9311,24.6855,1293
20200117 15:01,120.932,24.6796,1294
20200117 15:01,120.9459,24.7026,1295
20200117 15:01,120.9199,24.6810,1296
20200117 15:01,120.9375,24.6887,1297
20200117 15:01,120.9459,24.7026,1298
20200117 15:01,120.9319,24.6802,1299
20200117 15:01,120.9306,24.6936,1300
20200117 15:01,120.9459,24.7026,1301
20200117 15:01,120.9313,24.6838,1302
20200117 15:01,120.9319,24.6802,1303
20200117 15:02,120.9818,24.7259,1304
20200117 15:03,121.0314,24.7705,1309
20200117 15:03,120.9818,24.7259,1310
20200117 15:03,121.0080,24.7408,1311
20200117 15:03,120.9818,24.7260,1314
20200117 15:03,121.0080,24.7408,1315
20200117 15:04,121.0314,24.7707,1317
20200117 15:04,121.0315,24.7782,1319
20200117 15:04,121.0314,24.7706,1320
20200117 15:05,121.0362,24.7952,1327
20200117 15:05,121.0350,24.7830,1328
20200117 15:05,121.0347,24.7862,1330
20200117 15:05,121.0356,24.7918,1333
20200117 15:05,121.0340,24.7826,1334
20200117 15:05,121.0347,24.7862,1336
20200117 15:05,121.0354,24.7908,1337
20200117 15:05,121.0363,24.7960,1338
20200117 15:05,121.0345,24.7859,1339
20200117 15:06,121.0404,24.8076,1340
20200117 15:07,121.0405,24.8085,1344
20200117 15:09,121.0420,24.8116,1349
20200117 15:09,121.0406,24.8092,1352
20200117 15:09,121.0420,24.8116,1353
20200117 15:09,121.0407,24.8091,1358
20200117 15:09,121.0420,24.8116,1359
20200117 15:10,121.0531,24.8421,1362
20200117 15:10,121.0637,24.8331,1363
20200117 15:10,121.0632,24.8424,1364
20200117 15:10,121.0642,24.8325,1365
20200117 15:10,121.0624,24.8423,1366
20200117 15:11,121.0692,24.8722,1367
20200117 15:11,121.0661,24.8723,1368
20200117 15:12,121.0774,24.8910,1369
20200117 15:12,121.0795,24.8975,1372
20200117 15:12,121.0688,24.8790,1373
20200117 15:12,121.0795,24.8975,1374
20200117 15:12,121.0688,24.8790,1375
20200117 15:13,121.0961,24.9147,1376
20200117 15:13,121.0888,24.9117,1377
20200117 15:13,121.0853,24.9062,1378
20200117 15:13,121.0961,24.9131,1379
20200117 15:13,121.0888,24.9117,1380
20200117 15:13,121.0844,24.9048,1381
20200117 15:13,121.0822,24.9014,1383
20200117 15:14,121.1274,24.9457,1385
20200117 15:14,121.1114,24.9379,1386
20200117 15:14,121.1259,24.9450,1387
20200117 15:14,121.1114,24.9379,1388
20200117 15:14,121.1267,24.9454,1390
20200117 15:14,121.1172,24.9407,1393
20200117 15:14,121.1320,24.9476,1394
20200117 15:14,121.1168,24.9382,1395
20200117 15:14,121.1175,24.9414,1396
20200117 15:14,121.1168,24.9382,1397
20200117 15:16,121.2008,24.9914,1398
20200117 15:16,121.1962,24.9946,1400
20200117 15:16,121.1804,24.9787,1402
20200117 15:16,121.2147,25.0125,1403
20200117 15:16,121.1931,24.9916,1404
20200117 15:16,121.1960,24.9939,1405
20200117 15:17,121.2148,25.0125,1406
20200117 15:21,121.2312,25.0202,1424
20200117 15:21,121.2148,25.0125,1425
20200117 15:25,121.3554,25.0299,1429
20200117 15:27,121.3908,25.0106,1432
20200117 15:27,121.4139,25.0037,1433
20200117 15:27,121.3906,25.0107,1434
20200117 15:28,121.4299,25.0043,1435
20200117 15:28,121.4254,25.0009,1436
20200117 15:29,121.4473,25.0054,1437
20200117 15:30,121.4648,25.0141,1440
20200117 15:34,121.5167,25.0487,1466
20200117 15:49,121.5194,25.0482,1507
20200117 15:52,121.5166,25.0492,1512
20200117 16:12,121.5175,25.0507,1577
20200117 16:16,121.5202,25.0501,1586
20200117 16:16,121.5183,25.0530,1589
20200117 16:17,121.5240,25.0473,1590
20200117 16:17,121.5208,25.0480,1591
20200117 16:17,121.5240,25.0473,1592
20200117 16:17,121.5207,25.0483,1593
20200117 16:17,121.5240,25.0473,1596
20200117 16:17,121.5204,25.0500,1597
20200117 16:18,121.5242,25.0492,1599
20200117 16:21,121.5328,25.0482,1601
20200117 16:21,121.5256,25.0488,1606
20200117 16:21,121.5328,25.0482,1610
20200117 16:21,121.5256,25.0488,1612
20200117 16:23,121.5346,25.0483,1614
20200117 16:25,121.5369,25.0488,1618
20200117 16:29,121.5369,25.0469,1633
20200117 16:31,121.5379,25.0462,1643
20200117 16:32,121.5403,25.0467,1644
20200117 16:34,121.5451,25.0450,1645
20200117 16:35,121.5470,25.0449,1659
20200117 16:37,121.5628,25.0449,1665
20200117 16:37,121.5595,25.0451,1666
20200117 16:37,121.5634,25.0449,1667
20200117 16:37,121.5595,25.0451,1668
20200117 16:40,121.5716,25.0517,1669
20200117 16:40,121.5694,25.0491,1670
20200117 16:40,121.5716,25.0517,1673
20200117 16:42,121.5910,25.0617,1674
20200117 16:42,121.5886,25.0610,1675
20200117 16:42,121.5910,25.0617,1677
20200117 16:42,121.5886,25.0610,1678
20200117 16:42,121.5948,25.0634,1679
20200117 16:42,121.5886,25.0610,1680
20200117 16:42,121.5910,25.0617,1681
20200117 16:42,121.5886,25.0610,1683
20200117 16:45,121.6193,25.0614,1685
20200117 16:45,121.6108,25.0608,1686
20200117 16:45,121.6193,25.0614,1687
20200117 16:45,121.6108,25.0608,1688
20200117 16:45,121.6193,25.0614,1689
20200117 16:45,121.6108,25.0608,1690
20200117 16:45,121.6144,25.0606,1691
20200117 16:45,121.6193,25.0614,1692
20200117 16:46,121.6222,25.0578,1694
20200117 16:46,121.6202,25.0604,1697
20200117 16:47,121.6225,25.0568,1698
20200117 16:47,121.6239,25.0547,1699
20200117 16:47,121.6231,25.0468,1700
20200117 16:47,121.6225,25.0568,1701
20200117 16:47,121.6242,25.0546,1702
20200117 16:47,121.6239,25.0480,1704
20200117 16:47,121.6225,25.0568,1705
20200117 16:50,121.6436,25.0121,1708
20200117 16:50,121.6301,25.0330,1709
20200117 16:50,121.6436,25.0121,1710
20200117 16:50,121.6301,25.0330,1711
20200117 16:50,121.6436,25.0121,1712
20200117 16:50,121.6301,25.0330,1713
20200117 16:51,121.6436,25.0121,1714
20200117 17:00,121.7092,24.9459,1717
20200117 17:00,121.6966,24.9514,1718
20200117 17:00,121.7083,24.9461,1719
20200117 17:00,121.7033,24.9454,1720
20200117 17:01,121.7226,24.9465,1721
20200117 17:01,121.7193,24.9420,1722
20200117 17:01,121.7226,24.9465,1724
20200117 17:01,121.7198,24.9415,1725
20200117 17:01,121.7226,24.9465,1726
20200117 17:01,121.7180,24.9428,1730
20200117 17:01,121.7226,24.9465,1731
20200117 17:01,121.7193,24.9420,1732
20200117 17:01,121.7226,24.9465,1736
20200117 17:02,121.7248,24.9350,1738
20200117 17:10,121.7874,24.8612,1739
20200117 17:14,121.7816,24.8096,1742
20200117 17:16,121.7785,24.7810,1748
20200117 17:16,121.7801,24.7890,1749
20200117 17:16,121.7790,24.7856,1750
20200117 17:16,121.7785,24.7810,1751
20200117 17:16,121.7783,24.7833,1752
20200117 17:16,121.7785,24.7806,1754
20200117 17:16,121.7783,24.7833,1756
20200117 17:16,121.7801,24.7896,1757
20200117 17:16,121.7785,24.7810,1758
20200117 17:17,121.7784,24.7783,1761
20200117 17:17,121.7784,24.7757,1762
20200117 17:17,121.7784,24.7783,1763
20200117 17:17,121.7789,24.7712,1766
20200117 17:17,121.7784,24.7783,1767
20200117 17:17,121.7767,24.7714,1768
20200117 17:22,121.7899,24.7081,1769
20200117 17:22,121.7881,24.7017,1770
20200117 17:22,121.7906,24.7022,1771
20200117 17:22,121.7900,24.7095,1772
20200117 17:22,121.7906,24.7022,1773
20200117 17:22,121.7899,24.7081,1774
20200117 17:22,121.7876,24.7105,1775
20200117 17:22,121.7778,24.7129,1776
20200117 17:22,121.7876,24.7105,1778
20200117 17:22,121.7874,24.7048,1781
20200117 17:22,121.7900,24.7095,1782
20200117 17:22,121.7869,24.7119,1784
20200117 17:22,121.7897,24.7091,1785
20200117 17:22,121.7778,24.7129,1786
20200117 17:22,121.7906,24.7022,1787
20200117 17:22,121.7900,24.7095,1788
20200117 17:22,121.7903,24.7062,1789
20200117 17:22,121.7897,24.7091,1790
20200117 17:22,121.7812,24.7119,1792
20200117 17:22,121.7778,24.7129,1793
20200117 17:22,121.7874,24.7048,1794
20200117 17:22,121.7899,24.7081,1796
20200117 17:22,121.7874,24.7048,1797
20200117 17:23,121.7911,24.6933,1798
20200117 17:23,121.7911,24.6964,1799
20200117 17:23,121.7935,24.6936,1800
20200117 17:23,121.7913,24.6954,1801
20200117 17:23,121.7935,24.6936,1811
20200117 17:23,121.7913,24.6954,1812
20200117 17:23,121.7935,24.6936,1815
20200117 17:23,121.7911,24.6964,1817
20200117 17:24,121.7935,24.6906,1821
20200117 17:27,121.7919,24.6860,1823
20200117 17:28,121.7929,24.6800,1826
20200117 17:29,121.7854,24.6784,1833
20200117 17:29,121.7879,24.6791,1834
20200117 17:29,121.7854,24.6784,1835
20200117 17:29,121.7879,24.6791,1840
20200117 17:29,121.7854,24.6786,1841
